question,context,company,source_file,source_page,kpi_id,year,answer,data_type,relevant_paragraphs,annotator,Index,label
What is the company name?,"The Company is exposed to a risk of by losses counterparties their contractual financial obligations when due, and in particular depends on the reliability of banks the Company deposits its available cash. ",NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,['0'],0.0,2016,PAO NOVATEK,TEXT,"[""PAO NOVATEK ANNUAL REPORT 2016""[",train_anno_large.xlsx,1022,0
What is the company name?,- providing recommendations to the Board of Directors on transactions subject to ,NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,['2'],0.0,2016,NOVATEK,TEXT,"[""About the Company NOVATEK is one of the largest independent natural gas producers in Russia""]",train_anno_large.xlsx,1024,0
What is the company name?,About the Company NOVATEK is one of the largest independent natural gas producers in Russia,NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,['2'],0.0,2016,NOVATEK,TEXT,"[""About the Company NOVATEK is one of the largest independent natural gas producers in Russia""]",train_anno_large.xlsx,1024,1
In which year was the annual report or the sustainability report published?,"Following the results of an auction, NOVATEK – YURKHAROVNEFTEGAS obtained exploration and production licenses for the Nyakhartinsky, the Syadorsky and the Tanamsky license areas. The Nyakhartinsky license area is located in the YNAO in close proximity to the Yurkharovskoye field. Acquisition of licenses for the Syadorsky and the Tanamsky areas will enable the Company to enhance its resource base in the northern part of the Yamal Peninsula and in the Gydan Peninsula. ",NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,['0'],1.0,2016,2016,TEXT,"[""PAO NOVATEK ANNUAL REPORT 2016""[",train_anno_large.xlsx,1023,0
What is the volume of estimated proven hydrocarbons reserves?,High value-added petroleum products produced at the Ust-Luga Complex have a significant positive impact on the profitability of our liquid hydrocarbon sales and the Company’s cash flow generation. ,NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,['10'],2.1,2016,"12,775 million barrels of oil equivalent (boe)",TEXT,"[""As of 31 December 2016, NOVATEK's SEC proved reserves, including the Company's proportionate share in joint ventures, aggregated 12,775 million barrels of oil equivalent (boe), including 1,755 billion cubic meters (bcm) of natural gas and 152 million metric tons (mmt) of liquid hydrocarbons.""]",train_anno_large.xlsx,1027,0
What is the volume of estimated proven hydrocarbons reserves?,"As of 31 December 2016, NOVATEK's SEC proved reserves, including the Company's proportionate share in joint ventures, aggregated 12,775 million barrels of oil equivalent (boe), including 1,755 billion cubic meters (bcm) of natural gas and 152 million metric tons (mmt) of liquid hydrocarbons.",NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,['10'],2.1,2016,"12,775 million barrels of oil equivalent (boe)",TEXT,"[""As of 31 December 2016, NOVATEK's SEC proved reserves, including the Company's proportionate share in joint ventures, aggregated 12,775 million barrels of oil equivalent (boe), including 1,755 billion cubic meters (bcm) of natural gas and 152 million metric tons (mmt) of liquid hydrocarbons.""]",train_anno_large.xlsx,1027,1
What is the total volume of hydrocarbons production?,"On 30 September 2016, the Extraordinary General Meeting of Shareholders approved the amount of interim dividend for the first half of 2016 and amendments to NOVATEK’s Charter and internal documents regulating the activities of NOVATEK’s bodies. ",NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,['14'],3.0,2016,537.0 mmboe,TEXT,"[""In 2016, NOVATEK carried out commercial hydrocarbon production at 13 fields. Marketable production from all fields (including the Company's share in production of joint ventures) amounted to 537.0 mmboe, representing an increase of 3.0% over the prior year.""]",train_anno_large.xlsx,1028,0
What is the total volume of hydrocarbons production?,"In 2016, NOVATEK carried out commercial hydrocarbon production at 13 fields. Marketable production from all fields (including the Company's share in production of joint ventures) amounted to 537.0 mmboe, representing an increase of 3.0% over the prior year.",NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,['14'],3.0,2016,537.0 mmboe,TEXT,"[""In 2016, NOVATEK carried out commercial hydrocarbon production at 13 fields. Marketable production from all fields (including the Company's share in production of joint ventures) amounted to 537.0 mmboe, representing an increase of 3.0% over the prior year.""]",train_anno_large.xlsx,1028,1
What is the total volume of natural gas production?,"In 1968, Mr. Orlov graduated from the Tomsk State University as a geological engineer with a degree in “Geological survey and exploration of mineral deposits”, and in 1986 from the Academy of National Economy under the USSR Council of Ministers, with a specialty in “Economics and Management of a National Economy”. ",NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,['14'],3.3,2016,66.10 bcm,TEXT,"[""Total marketable production of natural gas including the Company's share in production of joint ventures aggregated 66.10 bcm, representing 80.5% of our total hydrocarbon output.""]",train_anno_large.xlsx,1029,0
What is the total volume of natural gas production?,"Total marketable production of natural gas including the Company's share in production of joint ventures aggregated 66.10 bcm, representing 80.5% of our total hydrocarbon output.",NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,['14'],3.3,2016,66.10 bcm,TEXT,"[""Total marketable production of natural gas including the Company's share in production of joint ventures aggregated 66.10 bcm, representing 80.5% of our total hydrocarbon output.""]",train_anno_large.xlsx,1029,1
